aX,aY,aZ,gX,gY,gZ
0.219,0.338,-0.946,1.587,-4.944,-5.737
0.188,0.344,-0.906,0.732,-7.935,-7.568
0.138,0.345,-0.856,0.610,-12.756,-8.179
0.142,0.358,-0.844,2.441,-14.526,-6.775
0.136,0.337,-0.866,4.333,-10.681,-5.066
0.142,0.318,-0.902,4.822,-3.601,-4.089
0.174,0.330,-0.929,3.845,0.854,-2.686
0.185,0.330,-0.948,3.723,-1.160,-2.991
0.178,0.324,-0.965,3.296,-4.517,-4.089
0.177,0.329,-0.953,1.709,-4.578,-4.883
0.161,0.341,-0.922,0.183,-4.211,-5.615
0.144,0.343,-0.883,0.122,-5.859,-5.493
0.131,0.346,-0.875,1.770,-7.385,-4.822
0.130,0.335,-0.901,3.967,-6.531,-3.845
0.149,0.328,-0.928,5.005,-3.601,-3.235
0.160,0.316,-0.957,5.066,-2.380,-3.052
0.176,0.321,-0.970,4.272,-4.028,-3.418
0.177,0.327,-0.964,3.052,-5.859,-4.211
0.160,0.324,-0.966,1.831,-6.958,-5.249
0.146,0.329,-0.979,0.244,-6.409,-5.554
0.156,0.341,-0.966,-1.709,-4.944,-4.822
0.160,0.349,-0.953,-2.441,-4.456,-4.639
0.146,0.353,-0.942,-2.747,-6.165,-4.761
0.140,0.361,-0.917,-3.479,-7.446,-4.395
0.141,0.357,-0.908,-2.930,-7.080,-4.028
0.143,0.342,-0.914,-1.892,-5.127,-3.662
0.152,0.342,-0.896,-1.953,-3.845,-3.235
0.150,0.348,-0.871,-1.892,-4.700,-3.235
0.150,0.338,-0.858,-0.366,-6.409,-2.991
0.152,0.330,-0.870,1.343,-6.226,-2.563
0.168,0.320,-0.895,2.319,-4.395,-2.014
0.182,0.324,-0.914,1.892,-2.747,-2.014
0.187,0.328,-0.922,1.099,-3.357,-2.686
0.170,0.333,-0.916,0.305,-5.310,-3.784
0.163,0.331,-0.928,0.610,-5.798,-4.028
0.167,0.340,-0.935,0.305,-3.845,-3.845

-0.493,-0.258,2.219,122.498,10.986,22.217
-0.597,-0.330,2.378,161.743,-6.836,25.696
-0.699,-0.436,2.414,207.764,-22.156,34.668
-0.699,-0.466,2.287,256.348,-31.311,49.744
-0.656,-0.583,1.985,308.289,-23.865,70.007
-0.552,-0.813,1.604,358.704,-8.545,91.309
-0.450,-0.817,1.202,391.296,5.066,104.492
-0.380,-0.757,0.777,417.114,16.724,110.962
-0.345,-0.740,0.316,446.594,22.278,117.493
-0.258,-0.713,-0.264,468.628,28.442,119.751
-0.201,-0.613,-0.742,467.468,34.607,116.089
-0.207,-0.467,-1.085,446.350,33.875,110.779
-0.282,-0.269,-1.206,419.678,34.119,106.689
-0.253,-0.129,-1.248,405.945,39.490,111.389
-0.151,-0.153,-1.156,408.447,47.363,126.038
0.023,-0.226,-1.452,438.049,42.236,146.790
0.018,-0.495,-1.751,455.261,39.307,151.672
0.215,-0.392,-1.987,409.363,43.091,162.659
0.337,-0.300,-2.155,364.075,61.707,164.795
0.613,-0.323,-2.359,348.572,90.637,157.288
0.910,-0.345,-2.777,328.857,117.126,144.836
1.141,-0.187,-3.063,277.405,104.248,131.958
1.250,-0.062,-3.199,223.694,52.429,106.079
1.145,0.139,-2.862,143.555,0.427,61.707
0.900,0.285,-2.448,91.614,-55.054,25.757
0.628,0.404,-2.019,62.317,-91.980,1.831
0.350,0.499,-1.701,47.607,-105.347,-8.057
0.167,0.561,-1.452,44.617,-97.839,-9.216
0.063,0.556,-1.298,38.940,-71.228,-7.935
-0.005,0.572,-1.125,32.288,-39.185,-6.958
-0.036,0.552,-0.990,26.794,-14.893,-3.723
-0.033,0.543,-0.883,29.236,-1.099,0.610
-0.066,0.487,-0.865,33.203,0.244,3.967
