aX,aY,aZ,gX,gY,gZ
-0.057,0.465,0.967,3.723,-2.441,18.188
-0.093,0.452,0.978,0.916,-2.625,18.555
-0.124,0.439,0.976,0.000,2.747,17.700
-0.161,0.423,0.952,1.160,11.414,15.869
-0.150,0.428,0.930,0.977,20.508,13.428
-0.139,0.437,0.915,0.427,26.123,11.169
-0.184,0.421,0.906,0.000,23.560,9.888
-0.228,0.407,0.918,-1.892,13.916,11.230
-0.249,0.387,0.946,-3.601,3.174,13.672
-0.274,0.374,0.952,-2.747,-3.113,14.343
-0.261,0.369,0.957,-1.953,-2.625,14.038
-0.258,0.373,0.950,-0.488,2.380,13.367
-0.252,0.358,0.940,0.488,9.766,14.465
-0.255,0.345,0.934,1.526,18.555,16.052
-0.264,0.333,0.923,1.953,25.513,17.090
-0.253,0.316,0.871,1.526,26.550,16.235
-0.270,0.314,0.848,-3.296,25.513,14.099
-0.263,0.334,0.849,-5.127,19.348,11.780
-0.283,0.326,0.869,-6.165,10.254,7.690
-0.286,0.348,0.912,-7.385,1.892,5.127
-0.224,0.435,0.961,-7.446,-1.526,3.479
-0.125,0.546,0.990,-6.531,-0.122,2.686
0.036,0.702,1.058,-8.789,6.592,5.493
0.443,1.029,1.239,-15.869,27.527,9.155
1.181,1.778,1.353,-31.067,75.745,2.686
1.976,2.734,1.471,-54.565,134.888,-19.897
3.132,3.605,1.303,-72.021,184.265,-28.809
3.982,3.903,0.708,-31.677,180.847,-20.935
3.998,3.355,0.502,1.709,82.520,-45.715
3.989,2.714,0.665,-1.831,-51.697,-133.545
3.661,2.198,0.925,-35.645,-142.761,-208.069
3.051,1.656,1.011,-71.838,-171.814,-258.423
1.793,0.807,0.703,-79.712,-127.502,-282.471
-0.080,-0.712,0.438,-86.670,-40.222,-270.752
-2.007,-2.468,0.299,-111.023,74.951,-225.525
-3.628,-3.903,0.225,-117.188,135.010,-210.144
-4.000,-4.000,0.582,-111.145,51.636,-205.322
-4.000,-4.000,1.080,-122.986,-94.910,-168.640
-4.000,-3.580,1.935,-136.169,-129.883,-132.629
-4.000,-3.244,2.597,-91.370,-65.918,-84.717
-3.012,-2.403,2.240,-25.391,-1.831,-22.705
-1.374,-1.489,1.586,5.310,40.039,30.151
0.365,-0.708,0.541,36.743,64.575,67.688
1.266,-0.202,-0.122,57.068,57.251,67.566
1.268,0.111,-0.076,45.044,9.888,27.039
0.962,0.295,0.243,31.128,-33.752,-3.418
0.629,0.127,0.570,25.146,-33.691,-8.606
0.388,-0.097,0.687,20.386,-13.489,-10.315
-0.015,-0.239,0.820,10.803,-9.827,-18.555
-0.394,-0.284,0.923,7.141,-17.761,-25.574
-0.688,-0.298,0.978,9.094,-13.428,-26.611
-0.780,-0.286,0.943,13.245,-1.221,-22.461
-0.632,-0.212,0.834,13.733,8.240,-14.343
-0.486,-0.156,0.762,11.597,11.475,-9.338
-0.390,-0.077,0.675,9.766,4.700,-9.827
